Variable,Description,Question Sample,Data Type,Notes
fu1-inv_debtfrom_banks,Refer to the definition of inv_debtfrom_banks,,,
fu1-inv_debtfrom_nonbankfin,Refer to the definition of inv_debtfrom_nonbankfin,,,
fu1-inv_debtfrom_venturecap,Refer to the definition of inv_debtfrom_venturecap,,,
fu1-inv_debtfrom_angels,Refer to the definition of inv_debtfrom_angels,,,
fu1-inv_debtfrom_govt,Refer to the definition of inv_debtfrom_govt,,,
fu1-inv_debtfrom_companies,Refer to the definition of inv_debtfrom_companies,,,
fu1-inv_debtfrom_nonprofits,Refer to the definition of inv_debtfrom_nonprofits,,,
fu1-inv_debtfrom_accelerators,Refer to the definition of inv_debtfrom_accelerators,,,
fu1-inv_debtfrom_family,Refer to the definition of inv_debtfrom_family,,,
fu1-inv_debtfrom_friendsfamily,Refer to the definition of inv_debtfrom_friendsfamily,,,
fu1-inv_debtfrom_bpcs,Refer to the definition of inv_debtfrom_bpcs,,,
fu1-inv_debtfrom_crowd,Refer to the definition of inv_debtfrom_crowd,,,
fu1-inv_debtfrom_nonowneremp,Refer to the definition of inv_debtfrom_nonowneremp,,,
fu1-inv_debtfrom_otherinds,Refer to the definition of inv_debtfrom_otherinds,,,
fu1-inv_debtfrom_other,Refer to the definition of inv_debtfrom_other,,,
fu1-inv_totaldebt_m1,Refer to the definition of inv_totaldebt_m1,,,
fu1-inv_philanfrom_companies,Refer to the definition of inv_philanfrom_companies,,,
fu1-inv_philanfrom_govt,Refer to the definition of inv_philanfrom_govt,,,
fu1-inv_philanfrom_nonprofits,Refer to the definition of inv_philanfrom_nonprofits,,,
fu1-inv_philanfrom_accelerators,Refer to the definition of inv_philanfrom_accelerators,,,
fu1-inv_philanfrom_friendsfamily,Refer to the definition of inv_philanfrom_friendsfamily,,,
fu1-inv_philanfrom_bpcs,Refer to the definition of inv_philanfrom_bpcs,,,
fu1-inv_philanfrom_crowd,Refer to the definition of inv_philanfrom_crowd,,,
fu1-inv_philanfrom_nonowneremp,Refer to the definition of inv_philanfrom_nonowneremp,,,
